,name,ad,item,text,who,page
17,Hon Barnaby Joyce MP (Old),Addition,Travel or hospitality,Chairman's Lounge,Spouse,6
18,Hon Barnaby Joyce MP (Old),Addition,Membership,CPA Australia,Self,6
19,Hon Barnaby Joyce MP (Old),Addition,Membership,Nationals NSW,Self,6
20,Hon Barnaby Joyce MP (Old),Addition,Membership,Nationals NSW,Spouse,6
21,Hon Barnaby Joyce MP (Old),Addition,Gift,"One Complimentary Foxtel service in my Tamworth Electorate Office to the value of $1,644.00",Self,16
22,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Loomberah, Residence Rural Property",Self,3
23,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Loomberah, Residence Rural Property",Spouse,3
24,Hon Barnaby Joyce MP (Old),Addition,Partnership,"ET & NT JoycE, Cattle/Sheep/Grain, Rural",Self,3
25,Hon Barnaby Joyce MP (Old),Addition,Partnership,"ET & NT JoycE, Cattle/Sheep/Grain, Rural",Spouse,3
27,Hon Barnaby Joyce MP (Old),Addition,Gift,An artwork gift from Mr Barry Kantilla (see photo attached).,Self,18
28,Hon Barnaby Joyce MP (Old),Addition,Gift,St Hallet shiraz and Hardys chardonnay from Accolade Wines,Self,9
29,Hon Barnaby Joyce MP (Old),Addition,Gift,Cullen Diana Madeline wine from Australian Institute of Marine and Power Engineers,Self,9
30,Hon Barnaby Joyce MP (Old),Addition,Gift,Plum vinegar from Lirah Australian Vinegar,Self,9
31,Hon Barnaby Joyce MP (Old),Addition,Gift,Wooden letter opener from Armidale Showgrounds,Self,9
32,Hon Barnaby Joyce MP (Old),Addition,Gift,Book The Conversation Yearbook 2016 from Michelle Grattan,Self,9
33,Hon Barnaby Joyce MP (Old),Addition,Gift,Notebook from Bespoke Approach,Self,9
34,Hon Barnaby Joyce MP (Old),Addition,Gift,Berton Vineyard bonsai shiraz from Murrumbidgee Irrigation,Self,9
35,Hon Barnaby Joyce MP (Old),Addition,Gift,2 x Parker Pens from Uniplan,Self,9
36,Hon Barnaby Joyce MP (Old),Addition,Gift,The Betoota Advocate Round-up from the Beetoota Advocate,Self,9
37,Hon Barnaby Joyce MP (Old),Addition,Gift,Rural Press Club 2013 Shiraz (750ml),Self,12
38,Hon Barnaby Joyce MP (Old),Addition,Gift,Rural Press Club tie and scarf,Self,12
39,Hon Barnaby Joyce MP (Old),Addition,Gift,Book The Forgotten People by The RT Hon. R. G. Menzies from Menzies Research Centre,Self,12
40,Hon Barnaby Joyce MP (Old),Addition,Gift,Book Water is Life by Colleen McCullough from Michael J Crouch AO,Self,12
41,Hon Barnaby Joyce MP (Old),Addition,Gift,Book Boundless Plains to Share from One Mandate Group from John Keeney Chairman One Mandate Group,Self,12
43,Hon Barnaby Joyce MP (Old),Addition,Liability,"Loan on Property, NAB",Self,4
44,Hon Barnaby Joyce MP (Old),Addition,Liability,"Loan on house, NAB",Self,4
45,Hon Barnaby Joyce MP (Old),Addition,Liability,"Overdraft, NAB",Spouse,4
46,Hon Barnaby Joyce MP (Old),Addition,Liability,"Overdraft, Westpac",Spouse,4
47,Hon Barnaby Joyce MP (Old),Addition,Savings/other accounts,"Savings, WPAC",Self,4
48,Hon Barnaby Joyce MP (Old),Addition,Savings/other accounts,"Savings, WPAC",Spouse,4
49,Hon Barnaby Joyce MP (Old),Addition,Savings/other accounts,Savings,Other,4
50,Hon Barnaby Joyce MP (Old),Addition,Travel or hospitality,Chairmans Lounge,Self,6
51,Hon Barnaby Joyce MP (Old),Addition,Travel or hospitality,Chairmans Lounge,Spouse,6
52,Hon Barnaby Joyce MP (Old),Addition,Membership,CPA Australia Nationals NSW,Self,6
53,Hon Barnaby Joyce MP (Old),Addition,Membership,Nationals NSW,Spouse,6
54,Hon Barnaby Joyce MP (Old),Addition,Other conflict,"Any inter relating interest on rural property, noting none proposed at this point in time.",Self,6
56,Hon Barnaby Joyce MP (Old),Addition,Gift,A cowboy style hat from Dr Robert Puckett,Self,11
57,Hon Barnaby Joyce MP (Old),Addition,Gift,A book titled 'Where did Oz go wrong?' from David Rees,Self,11
58,Hon Barnaby Joyce MP (Old),Addition,Gift,"A leather case for an ipad from Vice President of Argentina, Gabriela Michetti",Self,11
59,Hon Barnaby Joyce MP (Old),Addition,Other asset,Cattle Sheep Grain Paintings,Self,5
60,Hon Barnaby Joyce MP (Old),Addition,Other asset,Cattle Sheep Grain Paintings,Spouse,5
61,Hon Barnaby Joyce MP (Old),Addition,Gift,Christmas pudding from Croplife,Self,8
62,Hon Barnaby Joyce MP (Old),Addition,Gift,Hamper from Australian Food and Grocery Council,Self,8
63,Hon Barnaby Joyce MP (Old),Addition,Gift,Hamper from Qantas,Self,8
64,Hon Barnaby Joyce MP (Old),Addition,Gift,Christmas ham from Australian Pork Limited,Self,8
65,Hon Barnaby Joyce MP (Old),Addition,Gift,"Royal Porcelain Manufacturer polar bear statue and two bottles of Juliusspital wine from Mr Christian Schmidt, Agriculture Minister in Germany",Self,8
66,Hon Barnaby Joyce MP (Old),Addition,Gift,Akubra hat from Central Queensland Univeresity,Self,8
67,Hon Barnaby Joyce MP (Old),Addition,Gift,"Clock from Mr Thomas Lemborg, Chairman BKPM",Self,8
68,Hon Barnaby Joyce MP (Old),Addition,Gift,"Havana Club rum and 5 Cohiba cigars from Jose Manuel Galego Montano, Ambassador of Cuba",Self,8
69,Hon Barnaby Joyce MP (Old),Addition,Gift,"Book Armenia, Australia and the Great War from the Armenia National Committee of Australia",Self,8
70,Hon Barnaby Joyce MP (Old),Addition,Gift,Talijancich port and port sipper from the City of Swan,Self,8
71,Hon Barnaby Joyce MP (Old),Addition,Gift,Book Milan Louis Vuitton City Guide from European Australian Business Council,Self,8
72,Hon Barnaby Joyce MP (Old),Addition,Gift,Framed Hansard Extract from Senator Barnaby Joyce's first Speech 16th August 2005 from Manildra Group,Self,14
73,Hon Barnaby Joyce MP (Old),Addition,Gift,"Monogrammed Backpack, Polo Shirt & Compendium from Rural financial Counselling Service NSW",Self,13
74,Hon Barnaby Joyce MP (Old),Addition,Gift,"Picnic Pack from Rural Financial Counselling Service NSW inclues; Manbucca Macnuts (200g), Jenny's Kitchen Tropical Passionfruit Jam (300g), The Honey Place Honey (330g), Valerie & Courtneys Sweetly Spiced Sauce (500g), Macro Organic Chunky Tomato, Basil & Garlic Pasta Sauce, Petersons Armidale 2012 Sauvignon Blanc Semillon",Self,13
75,Hon Barnaby Joyce MP (Old),Addition,Travel or hospitality,I wish to advise that on 13 May 2017 I was a guest of the City vs. Country at the Essendon v Geelong AFL Match in Melbourne which included tickets and hospitality in the form of food and drinks ,Self,15
76,Hon Barnaby Joyce MP (Old),Addition,Gift,"Rural Press Club 2013 Shiraz (750ml) 
Rural Press Club tie and scarf
Book The Forgotten People by the RT RG Menzies from Menzies Research Centre 
Book Water is Life by Collen McCullough from Michael J Crouch AO
Book Boundless Plains to Share from One Mandate Group from John Keeney Chairman One Mandate Group ",Self,12
77,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Loomberah, residence rural property ",Self,3
78,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Loomberah, residence rural property ",Spouse,3
79,Hon Barnaby Joyce MP (Old),Addition,Partnership,"BT and NT Joyce, Cattle sheep grain, Rural",Self,3
80,Hon Barnaby Joyce MP (Old),Addition,Partnership,"BT and NT Joyce, Cattle sheep grain, Rural",Spouse,3
81,Hon Barnaby Joyce MP (Old),Addition,Gift,"St Hallett shiraz and Hardys chardonnay from Accolade Wines
Cullen Diana Madeline wine from the Australian Institute of Marine and Power Engineers 
Plum vinegar from Lirah Australian Vinegar
Wooden letter opener from Armidale Showgrounds
Book The Conversation Yearbook 2016 from Michelle Grattan
Notebook from Bespoke Approach 
Berton Vineyard bonsai shiraz from Murrumbidgee Irrigation 
2 x Parker Pens from Uniplan
Book The Betoota Advocate Round-up from the Betoota Advocate ",Self,9
82,Hon Barnaby Joyce MP (Old),Addition,Gift,Framed Hansard Extract from Senator Barnaby Joyce's first speech 16th August 2005 from Manildra Group,Self,14
83,Hon Barnaby Joyce MP (Old),Addition,Gift,"One complimentary Foxtel service in my Tamworth Electorate Office to the value of $1,644 ",Self,16
84,Hon Barnaby Joyce MP (Old),Addition,Gift,Penfolds Bin 707 Cabernet Sauvignon 2004 from Mr Phillip Attard Gostwyck Partnership ,Self,17
85,Hon Barnaby Joyce MP (Old),Addition,Liability,"Loan on property, NAB",Self,4
86,Hon Barnaby Joyce MP (Old),Addition,Liability,"Loan on house, NAB",Self,4
87,Hon Barnaby Joyce MP (Old),Addition,Liability,"Overdraft, NAB",Spouse,4
88,Hon Barnaby Joyce MP (Old),Addition,Liability,"Overdraft, Westpac",Spouse,4
89,Hon Barnaby Joyce MP (Old),Addition,Savings/other accounts,"Savings, WPAC",Self,4
90,Hon Barnaby Joyce MP (Old),Addition,Savings/other accounts,"Savings, WPAC",Spouse,4
91,Hon Barnaby Joyce MP (Old),Addition,Savings/other accounts,"Savings, WPAC",Other,4
93,Senator Barry O'Sullivan,Addition,Shareholding,Jilbridge Pty Ltd,Self,2
94,Senator Barry O'Sullivan,Addition,Shareholding,Embar Property Pty Ltd,Self,2
95,Senator Barry O'Sullivan,Addition,Shareholding,Com No 1 Super Pty Ltd,Self,2
96,Senator Barry O'Sullivan,Addition,Shareholding,Kingaroy Commercial Property Pty Ltd,Self,2
97,Senator Barry O'Sullivan,Addition,Shareholding,Asia Pacific Claims Management Corporation Pty Ltd,Self,2
98,Senator Barry O'Sullivan,Addition,Shareholding,"Jilbridge Pty Ltd:
Town & Country Homes Pty Ltd",Self,2
99,Senator Barry O'Sullivan,Addition,Shareholding,"Jilbridge Pty Ltd:
O'Sullivan & Sons Pty Ltd",Self,2
100,Senator Barry O'Sullivan,Addition,Shareholding,"Com No 1 Super Pty Ltd:
Creative Polymers Pty Ltd",Self,2
101,Senator Barry O'Sullivan,Addition,Shareholding,"Com No 1 Super Pty Ltd:
New Lands Group Holdings Pty Ltd",Self,2
102,Senator Barry O'Sullivan,Addition,Shareholding,"Com No 1 Super Pty Ltd:
Annual No 4 (Courts) Pty Ltd",Self,2
103,Senator Barry O'Sullivan,Addition,Shareholding,"Com No 1 Super Pty Ltd:
Annual No 5 (Woodchester Estate) Pty Ltd",Self,2
104,Senator Barry O'Sullivan,Addition,Shareholding,"The O'Sullivan Investment Trust:
Bridgestock Investments Pty Ltd",Self,2
105,Senator Barry O'Sullivan,Addition,Shareholding,"The O'Sullivan Investment Trust:
New Build Homes Pty Ltd",Self,2
106,Senator Barry O'Sullivan,Addition,Shareholding,"O'Sullivan & Sons Pty Ltd:
Newlands Civil Construction Pty Ltd",Self,2
107,Senator Barry O'Sullivan,Addition,Shareholding,"New Lands Group Holdings Pty Ltd:
Annual No 9 Pty Ltd",Self,2
108,Senator Barry O'Sullivan,Addition,Trust beneficiary,"Com No 1 Super Pty Ltd as Trustee for Com No 1 Superannuation Fund, Beneficiary/Member",Self,3
109,Senator Barry O'Sullivan,Addition,Trust beneficiary,"Kingaroy Property as Trustee for Kingaroy Property Instalment Trust, Property investment, Beneficiary",Self,3
110,Senator Barry O'Sullivan,Addition,Trust beneficiary,"The O'Sullivan Investment Trust, Investment holding trust, Beneficiary",Self,3
111,Senator Barry O'Sullivan,Addition,Trust beneficiary,"Bridgestock Investment Pty Ltd as trustee for The Keepbridge Property Trust, Property investments, Beneficial interest (indirect)",Self,3
112,Senator Barry O'Sullivan,Addition,Trust beneficiary,"Barry Colin O'Sullivan (Jnr) as trustee for Annie O'Sullivan Family Trust, Financial Investments, joint beneficiary",Self,3
113,Senator Barry O'Sullivan,Addition,Real estate,"Self:
East Toowomba, QLD, Residence",Self,4
114,Senator Barry O'Sullivan,Addition,Real estate,"Self:
Canberra, ACT, Residential unit investment",Self,4
115,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd:
Goondiwindi, QLD, Residential Land Development (2 titles)",Self,4
116,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd:
Silver Ridge, QLD, Residential Land Development (4 titles)",Self,4
117,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd:
Toowoomba, QLD, Commercial Building Investment",Self,4
118,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd:
Toowoomba, QLD, Retail Building Investment (2 titles)",Self,4
119,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd:
Toowoomba, QLD, Industrial Building Investment (2 titles)",Self,4
120,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd:
Toowoomba, QLD, Industrial Land Investment (2 titles)",Self,4
121,Senator Barry O'Sullivan,Addition,Real estate,"Kingaroy Property Pty Ltd:
Kingaroy, QLD, Commercial Investment",Self,4
122,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Investments Pty Ltd:
Brisbane, QLD, Residential Unit Investments (2 titles)",Self,4
123,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Investments Pty Ltd:
Kleinton, QLD, Rural Primary Production Property (11 titles)",Self,4
124,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Investments Pty Ltd:
Toowoomba, QLD, Commercial Property",Self,4
125,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Investments Pty Ltd:
Toowoomba, QLD, Commercial Building",Self,4
126,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Investments Pty Ltd:
Toowoomba, QLD, Commercial Building",Self,4
127,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Investments Pty Ltd:
Toowoomba, QLD, Industrial Building Investment",Self,4
128,Senator Barry O'Sullivan,Addition,Real estate,"O'Sullivan & Sons Pty Ltd:
Toowomba, QLD, Industrial Building Investment",Self,4
129,Senator Barry O'Sullivan,Addition,Directorship,"Com No 1 Super Pty Ltd, Trustee of superannuation fund",Self,5
130,Senator Barry O'Sullivan,Addition,Directorship,"Kingaroy Commercial Property Pty Ltd, Trustee of investment trust",Self,5
131,Senator Barry O'Sullivan,Addition,Membership,Donor - Rotary,Self,10
132,Senator Barry O'Sullivan,Addition,Membership,Donor - Catholic Mission,Self,10
133,Senator Barry O'Sullivan,Addition,Membership,Donor - Water Gift Trust,Self,10
134,Senator Barry O'Sullivan,Addition,Membership,Donor - Beautiful Gate Orphanage Lesotho,Self,10
135,Senator Barry O'Sullivan,Addition,Membership,Donor - Tiambang Family Philippines,Self,10
136,Senator Barry O'Sullivan,Addition,Membership,Donor - Quot Family Kenya,Self,10
137,Senator Barry O'Sullivan,Addition,Membership,Trustee - Enid Dowling Foundations Trust,Self,10
138,Senator Barry O'Sullivan,Deletion,Liability,"Under O'Sullivan & Sons Pty Ltd -, remove Commonwealth Bank",Self,12
139,Senator Barry O'Sullivan,Deletion,Liability,"Under O'Sullivan & Sons Pty Ltd -, remove Macquarie",Self,12
140,Senator Barry O'Sullivan,Deletion,Liability,"Under O'Sullivan & Sons Pty Ltd -, remove Mercedez Benz Finance",Self,12
141,Senator Barry O'Sullivan,Addition,Liability,Loans between B O'Sullivan and entities disclosed at (1) and (2) above. These intra-group balances change from time to time.,Self,6
142,Senator Barry O'Sullivan,Addition,Liability,"Self: Mortgage on residence, Westpac",Self,6
143,Senator Barry O'Sullivan,Addition,Liability,"Jilbridge Pty Ltd: Mortgage on investment and development property, Westpac",Self,6
144,Senator Barry O'Sullivan,Addition,Liability,"Kingaroy Property Pty Ltd: Mortgage on investment property, Westpac",Self,6
145,Senator Barry O'Sullivan,Addition,Liability,"Bridgestock Investments Pty Ltd: Mortgage on investment and rural property, National Australia Bank",Self,6
146,Senator Barry O'Sullivan,Addition,Liability,"Bridgestock Investments Pty Ltd: Mortgage on investment and rural property, Westpac",Self,6
147,Senator Barry O'Sullivan,Addition,Liability,"Bridgestock Investments Pty Ltd: Mortgage on investment and rural property, Commonwealth Bank",Self,6
148,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Mortgage industrial property, Commonwealth Bank",Self,6
149,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Fixed Asset Finance, Capital Finance",Self,6
150,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Fixed Asset Finance, Esanda",Self,6
151,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Fixed Asset Finance, Macquarie",Self,6
152,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Fixed Asset Finance, Mercedes Benz Finance",Self,6
153,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Fixed Asset Finance, National Australia Bank",Self,6
154,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd: Fixed Asset Finance, Toyota Finance",Self,6
156,Senator Barry O'Sullivan,Addition,Savings/other accounts,"Com No 1 Super Pty Ltd:, Savings Acount, National Australia Bank",Self,7
157,Senator Barry O'Sullivan,Addition,Savings/other accounts,"Kingaroy Property Pty Ltd:, Savings Acount, Westpac",Self,7
158,Senator Barry O'Sullivan,Addition,Savings/other accounts,"O'Sullivan & Sons Pty Ltd:, Savings Account, National Australia Bank",Self,7
159,Senator Barry O'Sullivan,Addition,Other asset,"O'Sullivan and Sons Pty Ltd:, Plant and equipment and business assets held in civil construction business conducted in Toowoomba, QLD",Self,8
160,Senator Barry O'Sullivan,Addition,Other asset,"O'Sullivan and Sons Pty Ltd:, Loans between B O'Sullivan and entities disclosed at (1) and (2) above. These intra-group balances change from time to time.",Self,8
161,Senator Barry O'Sullivan,Addition,Other income,Income from investments listed herin,Self,8
162,Senator Barry O'Sullivan,Deletion,Shareholding,Under O'Sullivan & Sons Pty Ltd - Remove its subsidiary 'Newlands Civil Construction Pty Ltd' 16 June 2017,Self,13
163,Senator Barry O'Sullivan,Addition,Trustee,"Com No 1 Super Pty Ltd as Trustee for Com No 1 Superannuation Fund, Beneficiary/Member",Self,3
164,Senator Barry O'Sullivan,Addition,Trustee,"Kingaroy Property as Trustee for Kingaroy Property Instalment Trust, Property investment, Beneficiary",Self,3
165,Senator Barry O'Sullivan,Addition,Trust beneficiary,"The O'Sullivan Investment Trust, Investment holding trust, Beneficiary",Self,3
166,Senator Barry O'Sullivan,Addition,Trustee,"Bridgestock Investments Pty Ltd as trustee for The Keepbridge Property Trust, Property investments, Beneficial interest (indirect)",Self,3
167,Senator Barry O'Sullivan,Addition,Trustee,"Barry Colin O'Sullivan (Jnr)  as trustee for Annie O'Sullivan Family Trust, Financial investments, joint beneficiary",Self,3
168,Senator Barry O'Sullivan,Addition,Real estate,"East Toowoomba, Qld, Residence",Self,4
169,Senator Barry O'Sullivan,Addition,Real estate,"Canberra ACT, Residential unit investment",Self,4
170,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd
Goondiwindi, Qld, Residential Land Development (2 titles).
",Self,4
171,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd
Silver Ridge, Qld, Residential Land Development (4 titles).",Self,4
172,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd
Toowoomba, Qld, Commercial Building Investment.",Self,4
173,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd
Toowoomba, Qld, Retail Building Investment (2 titles)",Self,4
174,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd
Toowoomba, Qld, Industrial Building Investment (2 tiltles)",Self,4
175,Senator Barry O'Sullivan,Addition,Real estate,"Jilbridge Pty Ltd
Toowoomba, Qld, Industrial Land Investment.",Self,4
176,Senator Barry O'Sullivan,Addition,Real estate,"Kingaroy Property Pty Ltd
Kingaroy, Qld, Commercial Investment.
",Self,4
177,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Invetsments Pty Ltd
Brisbane, Qld, Residential Unit Investments (2 titles)
",Self,4
178,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Invetsments Pty Ltd
Kleinton, Qld, Rural Primary Production Property (11 titles)",Self,4
179,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Invetsments Pty Ltd
Toowoomba, Qld, Commercial Property.",Self,4
180,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Invetsments Pty Ltd
Toowoomba, Qld, Commercial Building.",Self,4
181,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Invetsments Pty Ltd
Toowoomba, Qld, Commercial Building.",Self,4
182,Senator Barry O'Sullivan,Addition,Real estate,"Bridgestock Invetsments Pty Ltd
Toowoomba, Qld, Industrial Building Investment.",Self,4
183,Senator Barry O'Sullivan,Addition,Real estate,"O'Sullivan & Sons Pty Ltd
Toowoomba, Qld, Industrial Building Investment.
",Self,4
184,Senator Barry O'Sullivan,Deletion,Liability,Under O'Sullivan & Sons - remove Commonwealth Bank,Self,12
185,Senator Barry O'Sullivan,Deletion,Liability,Under O'Sullivan & Sons - remove Macquarie,Self,12
186,Senator Barry O'Sullivan,Deletion,Liability,Under O'Sullivan & Sons - remove Mercedes Benz Finance,Self,12
188,Senator Barry O'Sullivan,Addition,Shareholding,Jilbridge Pty Ltd,Self,2
189,Senator Barry O'Sullivan,Addition,Shareholding,Embar Property Pty Ltd,Self,2
190,Senator Barry O'Sullivan,Addition,Shareholding,Com No 1 Super Pty Ltd,Self,2
191,Senator Barry O'Sullivan,Addition,Shareholding,Kingaroy Commercial Property Pty Ltd,Self,2
192,Senator Barry O'Sullivan,Addition,Shareholding,Asia Pacific Claims Management Corporation Pty Ltd,Self,2
193,Senator Barry O'Sullivan,Addition,Shareholding,"Jilbridge Pty Ltd
Town and Country Homes Pty Ltd
O'Sullivan& Sons Pty Ltd",Self,2
194,Senator Barry O'Sullivan,Addition,Shareholding,"Com No 1 Super Pty Ltd
Creative Polymers Pty Ltd
New Lands Group Holding Pty Ltd
Annual No 4 (Courts) Pty Ltd
Annual No 5 (Woodchester Estate) Pty Ltd",Self,2
195,Senator Barry O'Sullivan,Addition,Shareholding,"The O'Sullivan Investment Trust
Bridgestock Investements Pty Ltd
New Build Homes Pty Ltd",Self,2
196,Senator Barry O'Sullivan,Addition,Shareholding,"O'Sullivan & Sons Pty Ltd
Newlands Civil Construction Pty Ltd",Self,2
197,Senator Barry O'Sullivan,Addition,Shareholding,"O'Sullivan & Sons Pty Ltd
New Lands Civil Construction Pty Ltd",Self,2
198,Senator Barry O'Sullivan,Addition,Shareholding,"New Lands  Group Holding Pty Ltd
Annual No 9 Pty Ltd",Self,2
199,Senator Barry O'Sullivan,Addition,Directorship,"Com No 1 Super Pty Ltd, Trustee of superannuation fund.",Self,5
200,Senator Barry O'Sullivan,Addition,Directorship,"Kingarory Commercial Property Pty Ltd, Trustee of investment trust.",Self,5
201,Senator Barry O'Sullivan,Deletion,Shareholding,Under Com No 1 Super Pty Ltd - Remove Annual No 4 (Courts) Pty Ltd,Self,11
202,Senator Barry O'Sullivan,Addition,Shareholding,Under Newlands Group Holdings Pty Ltd - Add Waltons Stores Pty Ltd,Self,11
203,Senator Barry O'Sullivan,Deletion,Real estate,"Under Jilbridge Pty Ltd - Silver Ridge, Qld residential land (3 titles) (was 4)",Self,11
204,Senator Barry O'Sullivan,Deletion,Real estate,Remove O'Sullivans & Sons Pty Ltd,Self,11
205,Senator Barry O'Sullivan,Addition,Liability,Loans between B O'Sullivan and entities dislosed in (1) and (2) above. These intra-group balances change from time to time.,Self,6
206,Senator Barry O'Sullivan,Addition,Liability,"Mortgage on Residence, Westpac",Self,6
207,Senator Barry O'Sullivan,Addition,Liability,"Jillbridge Pty Ltd
Mortgage on investment and development property, Westpac",Self,6
208,Senator Barry O'Sullivan,Addition,Liability,"Kingaroy Property Pty Ltd
Mortgage on investment property, Westpac",Self,6
209,Senator Barry O'Sullivan,Addition,Liability,"Bridgestock Investments Pty Ltd
Mortgage on investment and rural property, National Australia Bank, Westpac, Commonwealth Bank",Self,6
210,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd
Mortgage on industrial property, Commonwealth Bank",Self,6
211,Senator Barry O'Sullivan,Addition,Liability,"O'Sullivan & Sons Pty Ltd
Fixed Asset Finance; Capital Finance, Esanda, Macquarie, Mercedes Benz Australia, National Australia Bank, Toyota Finance.",Self,6
213,Senator Barry O'Sullivan,Addition,Savings/other accounts,"Com No 1 Super Pty Ltd, Savings account, National Australia Bank",Self,7
214,Senator Barry O'Sullivan,Addition,Savings/other accounts,"Kingaroy Property Pty Ltd, Savings account, Westpac",Self,7
215,Senator Barry O'Sullivan,Addition,Savings/other accounts,"O'Sullivan & Sons Pty Ltd, Savings account, National Australia Bank",Self,7
216,Senator Barry O'Sullivan,Addition,Other asset,"O'Sullivan & Sons Pty Ltd
Plant and equipment and business assets held in civil construction business conducted in Toowoomba, Qld",Self,8
217,Senator Barry O'Sullivan,Addition,Other asset,Loans between B O'Sullivan and entities disclosed in (1) and (2) above. These intra-group balances change from time to time.,Self,8
218,Senator Barry O'Sullivan,Addition,Other income,Income from investments listed herin.,Self,8
219,Senator Barry O'Sullivan,Addition,Membership,Donor - Rotary,Self,10
220,Senator Barry O'Sullivan,Addition,Membership,Donor - Catholic Mission,Self,10
221,Senator Barry O'Sullivan,Addition,Membership,Donor - Water Gift Trust,Self,10
